iter	Passed	Remaining
0	208	208470
1	209	104662
2	210	70031
3	211	52648
4	212	42201
5	212	35233
6	213	30259
7	213	26527
8	214	23624
9	215	21300
10	215	19399
11	216	17815
12	217	16476
13	218	15410
14	220	14452
15	221	13616
16	222	12839
17	222	12150
18	223	11531
19	223	10975
20	224	10473
21	225	10016
22	225	9596
23	226	9211
24	227	8857
25	227	8530
26	228	8227
27	228	7946
28	229	7684
29	230	7440
30	230	7212
31	231	7012
32	233	6833
33	234	6648
34	234	6469
35	235	6300
36	235	6140
37	236	5989
38	237	5845
39	237	5707
40	238	5577
41	239	5453
42	239	5335
43	240	5221
44	240	5113
45	241	5009
46	242	4910
47	242	4814
48	244	4737
49	244	4653
50	246	4586
51	247	4512
52	248	4435
53	248	4359
54	249	4286
55	250	4215
56	250	4147
57	251	4081
58	251	4017
59	252	3956
60	253	3896
61	253	3838
62	254	3782
63	254	3728
64	255	3675
65	256	3624
66	256	3574
67	257	3526
68	257	3479
69	258	3434
70	259	3396
71	260	3363
72	261	3325
73	262	3284
74	263	3244
75	263	3207
76	264	3171
77	265	3135
78	265	3099
79	266	3064
80	267	3029
81	267	2996
82	267	2960
83	268	2928
84	269	2897
85	269	2867
86	270	2837
87	271	2808
88	271	2780
89	272	2752
90	272	2724
91	273	2698
92	274	2678
93	275	2657
94	276	2632
95	277	2608
96	277	2586
97	278	2565
98	279	2543
99	280	2521
100	280	2499
101	281	2477
102	282	2456
103	282	2435
104	283	2414
105	283	2394
106	284	2374
107	285	2354
108	285	2335
109	286	2316
110	286	2298
111	287	2280
112	288	2266
113	290	2255
114	291	2242
115	292	2227
116	292	2209
117	293	2193
118	294	2177
119	294	2162
120	295	2148
121	296	2133
122	297	2119
123	298	2105
124	298	2090
125	299	2076
126	299	2061
127	300	2047
128	301	2033
129	301	2021
130	303	2010
131	305	2006
132	306	1994
133	306	1984
134	307	1971
135	308	1960
136	309	1949
137	310	1939
138	311	1928
139	311	1915
140	312	1903
141	312	1890
142	313	1878
143	314	1867
144	314	1856
145	315	1845
146	316	1834
147	316	1824
148	318	1818
149	319	1809
150	319	1798
151	320	1788
152	321	1778
153	321	1768
154	322	1759
155	323	1750
156	324	1741
157	325	1732
158	326	1724
159	326	1716
160	327	1707
161	328	1699
162	329	1690
163	329	1681
164	330	1672
165	331	1663
166	332	1658
167	333	1651
168	334	1643
169	335	1635
170	335	1627
171	336	1619
172	336	1610
173	337	1602
174	338	1594
175	338	1586
176	339	1578
177	340	1570
178	340	1563
179	341	1556
180	342	1549
181	342	1541
182	343	1533
183	344	1526
184	344	1518
185	345	1511
186	346	1506
187	347	1501
188	348	1495
189	349	1488
190	349	1481
191	350	1475
192	351	1469
193	351	1462
194	352	1456
195	353	1449
196	354	1443
197	354	1436
198	355	1430
199	355	1423
200	356	1417
201	357	1410
202	357	1404
203	358	1398
204	359	1392
205	359	1387
206	361	1384
207	362	1379
208	362	1373
209	363	1367
210	364	1361
211	364	1356
212	365	1350
213	366	1345
214	367	1340
215	367	1334
216	368	1328
217	368	1323
218	369	1317
219	370	1312
220	370	1306
221	371	1301
222	372	1296
223	372	1291
224	373	1286
225	374	1280
226	374	1275
227	375	1271
228	376	1268
229	377	1263
230	378	1258
231	378	1254
232	379	1249
233	380	1244
234	380	1239
235	381	1234
236	382	1229
237	382	1224
238	383	1220
239	383	1215
240	384	1211
241	385	1206
242	386	1202
243	386	1198
244	387	1194
245	388	1189
246	388	1185
247	389	1182
248	391	1181
249	392	1177
250	393	1173
251	393	1169
252	394	1164
253	395	1160
254	396	1158
255	397	1154
256	398	1152
257	399	1148
258	400	1144
259	400	1140
260	401	1136
261	402	1132
262	403	1129
263	404	1126
264	405	1124
265	406	1121
266	406	1117
267	407	1113
268	408	1109
269	409	1106
270	409	1102
271	410	1098
272	411	1095
273	411	1091
274	412	1087
275	413	1083
276	413	1079
277	414	1075
278	414	1072
279	415	1068
280	416	1065
281	417	1062
282	417	1058
283	420	1059
284	421	1056
285	421	1052
286	422	1049
287	423	1046
288	423	1043
289	424	1039
290	425	1035
291	425	1032
292	426	1028
293	426	1025
294	427	1022
295	428	1018
296	429	1015
297	429	1012
298	430	1008
299	430	1005
300	431	1001
301	432	998
302	432	995
303	434	994
304	435	992
305	436	989
306	437	986
307	437	983
308	438	980
309	438	976
310	439	973
311	440	970
312	440	967
313	441	964
314	442	961
315	442	958
316	443	955
317	444	952
318	444	949
319	445	946
320	445	943
321	446	940
322	447	938
323	449	937
324	450	934
325	450	931
326	451	929
327	452	926
328	452	923
329	453	920
330	454	918
331	455	916
332	455	913
333	456	910
334	457	907
335	457	904
336	458	901
337	458	898
338	459	896
339	460	894
340	461	891
341	461	888
342	463	888
343	464	885
344	465	883
345	466	880
346	466	878
347	467	875
348	467	872
349	468	870
350	469	867
351	469	864
352	470	862
353	470	859
354	471	856
355	472	854
356	473	851
357	473	849
358	474	846
359	474	844
360	475	841
361	476	839
362	476	836
363	478	836
364	479	833
365	480	831
366	480	829
367	481	826
368	481	824
369	482	822
370	483	819
371	484	817
372	484	814
373	485	812
374	486	810
375	486	807
376	487	805
377	487	802
378	488	800
379	489	798
380	489	795
381	490	793
382	490	790
383	491	789
384	493	787
385	493	785
386	494	783
387	495	780
388	495	778
389	496	776
390	496	773
391	497	771
392	498	769
393	498	767
394	499	765
395	500	762
396	500	760
397	501	758
398	502	756
399	502	754
400	503	751
401	504	749
402	504	747
403	505	745
404	506	743
405	507	742
406	508	740
407	508	738
408	509	736
409	510	734
410	511	732
411	511	730
412	512	728
413	513	726
414	513	724
415	514	721
416	514	719
417	515	717
418	516	715
419	516	713
420	517	711
421	518	709
422	518	707
423	519	705
424	519	703
425	520	701
426	521	700
427	522	698
428	523	696
429	524	694
430	524	692
431	525	690
432	526	688
433	526	686
434	527	684
435	527	682
436	528	680
437	529	679
438	529	677
439	530	675
440	531	673
441	532	672
442	532	670
443	533	668
444	534	666
445	534	664
446	536	663
447	537	661
448	537	659
449	538	658
450	539	656
451	539	654
452	540	652
453	540	650
454	541	648
455	542	647
456	543	645
457	544	643
458	544	642
459	545	640
460	546	639
461	547	637
462	548	635
463	549	634
464	549	632
465	551	631
466	552	630
467	552	628
468	553	626
469	554	624
470	554	622
471	555	621
472	556	619
473	556	617
474	557	615
475	557	614
476	558	612
477	559	610
478	559	608
479	560	607
480	561	605
481	561	603
482	562	602
483	563	600
484	563	598
485	564	597
486	565	596
487	566	594
488	567	593
489	568	591
490	568	589
491	569	588
492	570	586
493	571	585
494	571	583
495	572	581
496	573	580
497	573	578
498	574	576
499	574	574
500	575	573
